"","Id","MSSubClass","MSZoning","LotArea","Street","LotConfig","Neighborhood","BldgType","OverallQual","YearBuilt","ExterCond","BsmtCond","CentralAir","GrLivArea","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageQual","PoolArea","PoolQC","SalePrice"
"870",870,60,"RL",9938,1,"Inside","Kortrijk","1Fam",7,1993,3,3,1,1949,4,8,7,1,3,0,0,236000
"849",849,50,"RL",45600,1,"Inside","Brussels","1Fam",6,1908,3,3,1,2358,3,10,7,1,2,0,0,240000
"817",817,20,"RL",11425,1,"Corner","Ixelles","1Fam",5,1954,3,3,1,1008,3,4,7,1,3,0,0,137000
"810",810,75,"RM",8100,1,"Corner","Hasselt","1Fam",5,1898,3,3,0,2138,3,11,7,0,2,0,0,106000
"830",830,160,"FV",2544,1,"Inside","Ostend","Twnhs",7,2005,3,3,1,1223,4,4,7,0,3,0,0,147400
"1016",1016,60,"RL",8400,1,"Inside","LaLouviere","1Fam",8,2001,3,3,1,1665,4,6,7,0,3,0,0,227000
"236",236,160,"RM",1680,1,"Inside","Charleroi","TwnhsE",6,1971,3,3,1,987,3,5,7,0,3,0,0,89500
"594",594,120,"RM",4435,1,"Inside","Schaerbeek","TwnhsE",6,2003,3,3,1,848,4,4,7,0,3,0,0,140000
"657",657,20,"RL",10007,1,"Inside","Ixelles","1Fam",5,1959,3,3,1,1053,4,5,7,0,3,0,0,145500
"258",258,20,"RL",8814,1,"Inside","Schaerbeek","1Fam",7,2006,3,3,1,1604,4,8,7,1,3,0,0,220000
"473",473,180,"RM",3675,1,"Inside","Bruges","TwnhsE",6,2005,3,3,1,1072,3,5,7,0,3,0,0,148000
"1067",1067,60,"RL",7837,1,"Inside","Namur","1Fam",6,1993,3,3,1,1571,3,7,7,1,3,0,0,178000
