"","Id","MSSubClass","MSZoning","LotArea","Street","LotConfig","Neighborhood","BldgType","OverallQual","YearBuilt","ExterCond","BsmtCond","CentralAir","GrLivArea","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageQual","PoolArea","SalePrice"
"115",115,70,"RL",7259,1,"Inside","Anderlecht","1Fam",6,1945,3,3,1,2320,4,9,7,1,3,0,259500
"116",116,160,"FV",3230,1,"Corner","Ostend","TwnhsE",6,1999,3,3,1,1458,3,5,7,1,3,0,176000
"117",117,20,"RL",11616,1,"Inside","SintNiklaas","1Fam",5,1962,3,3,1,1092,3,6,7,1,3,0,139000
"118",118,20,"RL",8536,1,"Corner","Bruges","1Fam",5,2006,3,3,1,1125,3,5,7,0,3,0,155000
"119",119,60,"RL",12376,1,"Corner","Kortrijk","1Fam",7,1990,3,3,1,3222,4,11,7,2,3,0,320000
"120",120,60,"RL",8461,1,"Inside","Schaerbeek","1Fam",6,2005,3,3,1,1456,4,8,7,1,3,0,163990
"121",121,80,"RL",21453,1,"CulDSac","Brussels","1Fam",6,1969,3,3,1,988,3,4,7,2,3,0,180000
"122",122,50,"RM",6060,1,"Inside","Leuven","1Fam",4,1939,3,3,1,1123,3,4,7,0,3,0,100000
"123",123,20,"RL",9464,1,"Corner","Ixelles","1Fam",6,1958,4,3,1,1080,3,5,7,0,3,0,136000
"124",124,120,"RL",7892,1,"Inside","Kortrijk","TwnhsE",6,1993,3,3,1,1199,4,5,7,0,3,0,153900
"125",125,20,"RL",17043,1,"CulDSac","LaLouviere","1Fam",6,1979,4,2,1,1586,3,7,7,1,3,0,181000
"126",126,190,"RM",6780,1,"Inside","Leuven","2fmCon",6,1935,2,3,0,754,3,5,7,0,0,0,84500
"127",127,120,"RL",4928,1,"Inside","Mechelen","TwnhsE",6,1976,3,3,1,958,3,5,7,1,3,0,128000
"128",128,45,"RM",4388,1,"Inside","Hasselt","1Fam",5,1930,4,3,1,840,3,5,7,1,0,0,87000
"129",129,60,"RL",7590,1,"Inside","Ixelles","1Fam",6,1966,3,3,1,1348,3,6,7,1,3,0,155000
"130",130,20,"RL",8973,1,"Inside","Ixelles","1Fam",5,1958,3,3,1,1053,5,6,7,0,3,0,150000
"131",131,60,"RL",14200,1,"Corner","Ixelles","1Fam",7,1966,3,3,1,2157,4,8,7,2,3,0,226000
"133",133,20,"RL",7388,1,"Corner","Ixelles","1Fam",5,1959,3,3,1,1327,4,7,7,0,3,0,150750
"134",134,20,"RL",6853,1,"Inside","Seraing","1Fam",8,2001,3,3,1,1296,4,6,7,0,3,0,220000
"135",135,20,"RL",10335,1,"Inside","SintNiklaas","1Fam",5,1968,3,3,1,1721,3,7,6,1,3,0,180000
"136",136,20,"RL",10400,1,"Inside","LaLouviere","1Fam",7,1970,3,3,1,1682,3,7,7,1,3,0,174000
"137",137,20,"RL",10355,1,"Corner","Ixelles","1Fam",5,1967,3,3,1,1214,3,5,7,1,3,0,143000
"138",138,90,"RL",11070,1,"Inside","Mons","Duplex",7,1988,3,3,1,1959,3,9,7,0,3,0,171000
"139",139,60,"RL",9066,1,"Inside","Schaerbeek","1Fam",8,1999,3,3,1,1852,4,7,7,2,3,0,230000
"140",140,60,"RL",15426,1,"Inside","Schaerbeek","1Fam",6,1997,3,3,1,1764,4,7,7,0,3,0,231500
"141",141,20,"RL",10500,1,"FR2","Ixelles","1Fam",4,1971,3,3,1,864,3,5,7,1,0,0,115000
"142",142,20,"RL",11645,1,"Inside","Schaerbeek","1Fam",7,2005,3,3,1,1734,4,7,7,0,3,0,260000
"143",143,50,"RL",8520,1,"Corner","Ixelles","1Fam",5,1952,2,3,1,1385,3,6,7,0,3,0,166000
"144",144,20,"RL",10335,1,"Inside","Schaerbeek","1Fam",7,1999,3,3,1,1501,4,6,7,0,3,0,204000
"145",145,90,"RM",9100,1,"Inside","SintNiklaas","Duplex",5,1963,3,3,1,1728,3,10,7,0,3,0,125000
"146",146,160,"RM",2522,1,"Inside","Bruges","Twnhs",6,2004,3,3,1,1709,4,7,3,0,3,0,130000
"147",147,30,"RM",6120,1,"Corner","Liège","1Fam",5,1931,3,3,1,875,3,5,7,0,2,0,105000
"148",148,60,"RL",9505,1,"CulDSac","Namur","1Fam",7,2001,3,3,1,2035,4,8,7,1,3,0,222500
"149",149,20,"RL",7500,1,"Inside","Kortrijk","1Fam",7,2004,3,3,1,1080,4,6,7,0,0,0,141000
"150",150,50,"RM",6240,1,"Inside","Liège","1Fam",5,1936,3,3,1,1344,3,7,7,0,2,0,115000
"151",151,20,"RL",10356,1,"Corner","Schaerbeek","1Fam",5,1975,3,3,1,969,3,5,7,0,3,0,122000
"152",152,20,"RL",13891,1,"Inside","Uccle","1Fam",8,2007,3,3,1,1710,4,6,7,1,3,0,372402
"153",153,60,"RL",14803,1,"CulDSac","LaLouviere","1Fam",6,1971,3,3,1,1993,3,8,7,1,3,0,190000
"154",154,20,"RL",13500,1,"Inside","Brussels","1Fam",6,1960,3,3,1,1252,3,4,7,1,3,0,235000
"156",156,50,"RL",9600,1,"Corner","Bruges","1Fam",6,1924,3,3,0,1096,3,5,7,0,0,0,79000
"158",158,60,"RL",12003,1,"Corner","Seraing","1Fam",8,2009,3,3,1,1968,5,8,7,1,3,0,269500
"159",159,60,"FV",12552,1,"Corner","Ostend","1Fam",7,2004,3,3,1,1947,4,8,7,1,3,0,254900
"160",160,60,"RL",19378,1,"Corner","Namur","1Fam",7,2005,3,3,1,2462,4,9,7,1,3,0,320000
"161",161,20,"RL",11120,1,"CulDSac","Roeselare","1Fam",6,1984,3,3,1,1232,3,6,7,0,3,0,162500
"162",162,60,"RL",13688,1,"Inside","Uccle","1Fam",9,2003,3,3,1,2668,5,10,7,2,3,0,412500
"163",163,20,"RL",12182,1,"Corner","Uccle","1Fam",7,2005,3,3,1,1541,4,7,7,1,3,0,220000
"164",164,45,"RL",5500,1,"Inside","Hasselt","1Fam",4,1956,3,3,1,882,3,4,7,0,0,0,103200
"165",165,40,"RM",5400,1,"Corner","Hasselt","1Fam",6,1926,4,3,1,1616,4,5,7,0,3,0,152000
"166",166,190,"RL",10106,1,"Inside","Bruges","2fmCon",5,1940,4,3,1,1355,3,6,7,0,0,0,127500
"167",167,20,"RL",10708,1,"Inside","Brussels","1Fam",5,1955,3,3,1,1867,3,7,7,3,3,0,190000
"168",168,60,"RL",10562,1,"Inside","Uccle","1Fam",8,2007,3,3,1,2161,5,8,7,1,3,0,325624
"169",169,60,"RL",8244,1,"Inside","Namur","1Fam",7,2004,3,3,1,1720,4,7,7,1,3,0,183500
"170",170,20,"RL",16669,1,"Corner","Seraing","1Fam",8,1981,3,3,1,1707,3,6,7,1,3,0,228000
"172",172,20,"RL",31770,1,"Corner","Ixelles","1Fam",6,1960,3,4,1,1656,3,7,7,2,3,0,215000
"173",173,160,"RL",5306,1,"Inside","Tournai","TwnhsE",7,1987,4,4,1,1767,4,5,7,1,4,0,239000
"174",174,20,"RL",10197,1,"Inside","Ixelles","1Fam",6,1961,3,3,1,1362,3,6,7,1,3,0,163000
"175",175,20,"RL",12416,1,"Inside","Seraing","1Fam",6,1986,3,2,1,1651,3,7,5,1,3,0,184000
"176",176,20,"RL",12615,1,"Corner","Bruges","1Fam",6,1950,3,4,1,2158,4,7,7,1,3,0,243000
"177",177,60,"RL",10029,1,"Corner","Brussels","1Fam",6,1988,3,3,1,2060,3,8,7,1,3,0,211000
"178",178,50,"RL",13650,1,"Inside","SintNiklaas","1Fam",5,1958,4,3,1,1920,4,8,7,1,3,0,172500
"179",179,20,"RL",17423,1,"CulDSac","Tournai","1Fam",9,2008,3,3,1,2234,5,9,7,1,3,0,501837
"180",180,30,"RM",8520,1,"Inside","Hasselt","1Fam",5,1923,3,3,1,968,3,5,7,0,2,0,100000
"181",181,160,"FV",2117,1,"Inside","Ostend","Twnhs",6,2000,3,3,1,1525,4,5,7,1,3,0,177000
"182",182,70,"RL",7588,1,"Inside","Anderlecht","1Fam",7,1920,3,3,1,1802,3,9,7,1,2,0,200100
"183",183,20,"RL",9060,1,"Inside","Bruges","1Fam",5,1957,3,0,1,1340,3,7,7,1,3,0,120000
"185",185,50,"RL",7438,1,"Inside","Liège","1Fam",5,1908,3,3,1,1252,3,5,7,0,3,0,127000
"186",186,75,"RM",22950,1,"Inside","Hasselt","1Fam",10,1892,4,3,1,3608,5,12,7,2,5,0,475000
"187",187,80,"RL",9947,1,"CulDSac","Mons","1Fam",7,1990,3,3,1,1217,4,6,7,0,3,0,173000
"188",188,50,"RL",10410,1,"Inside","Hasselt","1Fam",5,1916,3,3,1,1656,3,8,5,0,2,0,135000
"189",189,90,"RL",7018,1,"Inside","Kortrijk","Duplex",5,1979,3,3,1,1224,3,6,7,2,3,0,153337
"190",190,120,"RL",4923,1,"Inside","Tournai","TwnhsE",8,2001,3,3,1,1593,5,5,7,1,3,0,286000
"191",191,70,"RL",10570,1,"Inside","Anderlecht","1Fam",8,1932,3,4,1,2727,4,10,3,2,3,0,315000
"192",192,60,"RL",7472,1,"CulDSac","Ixelles","1Fam",7,1972,3,3,1,1479,4,7,7,0,3,0,184000
"194",194,160,"RM",2522,1,"Inside","Bruges","Twnhs",7,2004,3,3,1,1709,4,7,3,0,3,0,130000
"195",195,20,"RL",7180,1,"Inside","Schaerbeek","1Fam",5,1972,3,3,1,864,3,5,7,0,3,0,127000
"196",196,160,"RL",2280,1,"FR2","Mechelen","Twnhs",6,1976,3,3,1,1456,3,7,7,1,3,0,148500
"197",197,20,"RL",9416,1,"Inside","Ostend","1Fam",7,2007,3,3,1,1726,5,8,7,1,3,0,311872
"198",198,75,"RL",25419,1,"Corner","Ixelles","1Fam",8,1918,4,3,1,3112,4,8,7,1,3,512,235000
"199",199,75,"RM",5520,1,"Corner","Hasselt","1Fam",6,1912,3,3,1,2229,3,8,7,0,0,0,104000
"200",200,20,"RL",9591,1,"Inside","Uccle","1Fam",8,2004,3,3,1,1713,5,7,7,1,3,0,274900
"201",201,20,"RM",8546,1,"Corner","Bruges","1Fam",4,2003,3,3,1,1121,3,5,7,0,3,0,140000
"202",202,20,"RL",10125,1,"Inside","Mons","1Fam",6,1977,3,3,1,1279,3,6,7,2,3,0,171500
"203",203,50,"RL",7000,1,"Corner","Hasselt","1Fam",6,1924,4,3,1,1310,3,6,6,0,3,0,112000
"205",205,50,"RM",3500,1,"Inside","Hasselt","1Fam",5,1947,3,3,1,1284,3,5,7,0,3,0,110000
"206",206,20,"RL",11851,1,"Corner","Namur","1Fam",7,1990,3,3,1,1442,3,5,7,0,3,0,180500
"207",207,20,"RL",13673,1,"CulDSac","SintNiklaas","1Fam",5,1962,4,3,1,1696,3,8,5,1,3,0,143900
"208",208,20,"RL",12493,1,"Inside","Ixelles","1Fam",4,1960,3,3,1,1100,3,6,7,1,3,0,141000
"209",209,60,"RL",14364,1,"Inside","Kortrijk","1Fam",7,1988,3,3,1,2062,3,7,7,1,3,0,277000
"210",210,20,"RL",8250,1,"Inside","Ixelles","1Fam",6,1964,3,3,1,1092,3,6,7,0,3,0,145000
"211",211,30,"RL",5604,1,"Inside","Bruges","1Fam",5,1925,3,3,0,864,3,5,7,0,0,0,98000
"212",212,20,"RL",10420,1,"Corner","Bruges","1Fam",6,2009,3,3,1,1212,4,6,7,0,3,0,186000
"213",213,60,"FV",8640,1,"Inside","Ostend","1Fam",7,2009,3,3,1,1852,4,7,7,1,3,0,252678
"214",214,20,"RL",13568,1,"CulDSac","Schaerbeek","1Fam",5,1995,3,3,1,990,3,5,7,0,3,0,156000
"215",215,60,"RL",10900,1,"FR2","Schaerbeek","1Fam",6,1977,3,3,1,1392,3,6,7,0,3,0,161750
"216",216,20,"RL",10011,1,"Inside","Ixelles","1Fam",5,1957,3,3,1,1236,4,6,6,1,3,0,134450
"217",217,20,"RL",8450,1,"Inside","Schaerbeek","1Fam",7,2004,3,3,1,1436,4,8,7,0,3,0,210000
"218",218,70,"RM",9906,1,"Inside","Hasselt","1Fam",4,1925,3,3,0,1328,3,8,7,0,3,0,107000
"219",219,50,"RL",15660,1,"Corner","Anderlecht","1Fam",7,1939,4,3,1,1954,4,8,7,2,3,0,311500
"220",220,120,"RL",3010,1,"Inside","Antwerp","TwnhsE",7,2005,3,3,1,1248,4,5,7,0,3,0,167240
"222",222,60,"RL",8068,1,"Inside","Namur","1Fam",6,2002,3,3,1,2267,4,8,7,1,3,0,200000
"223",223,60,"RL",11475,1,"Inside","LaLouviere","1Fam",6,1975,3,3,1,1552,3,6,7,1,3,0,179900
"224",224,20,"RL",10500,1,"FR2","Ixelles","1Fam",4,1971,3,3,1,864,3,4,7,0,3,0,97000
"226",226,160,"RM",1680,1,"Inside","Charleroi","Twnhs",5,1971,3,3,1,1302,3,6,7,0,3,0,112000
"227",227,60,"RL",9950,1,"Inside","Aalst","1Fam",7,1995,3,3,1,2520,4,9,7,1,3,0,290000
"228",228,160,"RM",1869,1,"Inside","Charleroi","Twnhs",6,1970,3,3,1,987,3,5,7,0,3,0,106000
"229",229,20,"RL",8521,1,"FR2","SintNiklaas","1Fam",5,1967,3,3,1,912,3,5,7,1,3,0,125000
"230",230,120,"RL",3182,1,"Inside","Antwerp","TwnhsE",7,2005,3,3,1,1555,4,7,7,1,3,0,192500
"231",231,20,"RL",8760,1,"Inside","Ixelles","1Fam",6,1959,3,3,1,1194,3,6,7,0,3,0,148000
"232",232,60,"RL",15138,1,"Inside","Aalst","1Fam",8,1995,3,3,1,2794,5,9,7,1,3,0,403000
"233",233,160,"RM",1680,1,"Inside","Charleroi","Twnhs",6,1972,3,3,1,987,3,5,7,1,3,0,94500
"234",234,20,"RL",10650,1,"Corner","Schaerbeek","1Fam",5,1976,3,4,1,894,3,5,7,0,3,0,128200
"235",235,60,"RL",7851,1,"Inside","Namur","1Fam",6,2002,3,3,1,1960,4,8,7,2,3,0,216500
"237",237,20,"RL",8773,1,"FR2","Schaerbeek","1Fam",7,2004,3,3,1,1414,4,6,7,0,3,0,185500
"238",238,60,"RL",9453,1,"CulDSac","Kortrijk","1Fam",7,1993,3,3,1,1744,4,7,7,0,3,0,194500
"239",239,20,"RL",12030,1,"Inside","Uccle","1Fam",8,2007,3,3,1,1694,4,7,7,0,3,0,318000
"240",240,50,"RL",8741,1,"Inside","Bruges","1Fam",6,1945,3,2,1,1487,3,7,7,1,3,0,113000
"241",241,20,"FV",9000,1,"Inside","Ostend","1Fam",8,2008,3,3,1,1566,4,7,7,0,3,0,262500
"242",242,30,"RM",3880,1,"Inside","Hasselt","1Fam",5,1945,4,3,1,866,4,4,7,0,0,0,110500
"243",243,50,"RM",5000,1,"Corner","Hasselt","1Fam",5,1900,3,3,0,1440,3,6,7,0,2,0,79000
"244",244,160,"RL",10762,1,"Corner","Kortrijk","TwnhsE",6,1980,3,3,1,1217,3,6,7,1,3,0,120000
"245",245,60,"RL",8880,1,"Inside","Kortrijk","1Fam",7,1994,3,3,1,2110,4,8,7,2,3,0,205000
"246",246,20,"RL",10400,1,"Inside","LaLouviere","1Fam",7,1988,3,3,1,1872,3,6,7,1,3,0,241500
"247",247,190,"RM",9142,1,"Inside","Hasselt","2fmCon",6,1910,2,3,0,1928,2,9,7,0,1,0,137000
"248",248,20,"RL",11310,1,"Inside","Ixelles","1Fam",6,1954,3,3,1,1375,3,5,7,1,3,0,140000
"249",249,60,"RL",11317,1,"Inside","Schaerbeek","1Fam",7,2003,3,3,1,1668,4,8,7,0,3,0,180000
"250",250,50,"RL",159000,1,"CulDSac","Brussels","1Fam",6,1958,3,3,1,2144,4,7,7,2,3,0,277000
